DATAFLOW,LAST UPDATE,freq,spdeps,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,AT,2018,12693.80,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,AT,2019,13126.69,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,BE,2018,11565.74,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,BE,2019,11948.18,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,BG,2018,1347.15,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,BG,2019,1459.95,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,CZ,2018,3662.70,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,CZ,2019,3973.77,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,DE,2018,12063.31,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,DE,2019,12593.43,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,DK,2018,16588.29,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,DK,2019,16842.92,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,EE,2018,3207.15,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,EE,2019,3457.65,
ESTAT:SPR_EXP_SUM$DEFAULTVIEW(1.0),14/12/22 23:00:00,A,TOTALNOREROUTE,EUR_HAB,ES,2018,6065.66,p
